"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,5953,100,2074855,201492.16934615056,0,0,0,5953
"Ethernet",100,5953,4.018786854985047,83384,8097.54081550731,0,0,0,5953
"Internet Protocol Version 6",0.033596505963379805,2,0.004626829344701196,96,9.322698818582722,0,0,0,2
"Internet Control Message Protocol v6",0.033596505963379805,2,0.004626829344701196,96,9.322698818582722,2,96,9.322698818582722,2
"Internet Protocol Version 4",99.86561397614648,5945,5.730520927968461,118900,11546.55093259881,0,0,0,5945
"User Datagram Protocol",3.830001679825298,228,0.08790975754932272,1824,177.13127755307173,0,0,0,228
"Simple Service Discovery Protocol",0.06719301192675961,4,0.03335172819305445,692,67.20112065061713,4,692,67.20112065061713,4
"QUIC IETF",0.5039475894506972,30,0.5129997035937451,10644,1033.6542315103593,30,10408,1010.7359302480102,31
"Multicast Domain Name System",0.10078951789013943,6,0.01156707336175299,240,23.306747046456806,6,240,23.306747046456806,6
"Dynamic Host Configuration Protocol",0.033596505963379805,2,0.029737017767506646,617,59.91776219859938,2,617,59.91776219859938,2
"Domain Name System",0.8735091550478751,52,0.19818252359803457,4112,399.3222660626266,52,4112,399.3222660626266,52
"Data",2.250965899546447,134,1.2000838612818727,24900,2418.075006069894,134,24900,2418.075006069894,134
"Transmission Control Protocol",96.01881404333949,5716,8.853437951085738,183696,17838.98418935804,3195,103024,10004.809615475691,5716
"Transport Layer Security",42.13001847807828,2508,70.00040966718156,1452407,141045.34398959664,2508,1359606,132033.30468685398,2563
"Hypertext Transfer Protocol",0.16798252981689904,10,0.1577459629709064,3273,317.8457628460547,6,2015,195.67956374421027,10
"Line-based text data",0.033596505963379805,2,54.589260454345,1132648,109993.08511948003,2,1132648,109993.08511948003,2
"JPEG File Interchange Format",0.033596505963379805,2,2.5067775820479024,52012,5050.9605307512975,2,52012,5050.9605307512975,2
"Data",0.050394758945069715,3,0.35800092054625504,7428,721.3438210878381,3,7428,721.3438210878381,3
"Internet Control Message Protocol",0.016798252981689903,1,0.017398806181636788,361,35.05723201571212,1,361,35.05723201571212,1
"Address Resolution Protocol",0.10078951789013943,6,0.008096951353227093,168,16.314722932519764,6,168,16.314722932519764,6

